order_id,order_date,category,sub_category,region,channel,payment_method,quantity,unit_price,discount_pct,sales,profit,customer_segment
200000,2023-07-29,Sports,Fitness,West,Online,Netbanking,1,102.11,15.0,86.79,6.58,Returning
200001,2023-08-12,Home & Kitchen,Furniture,East,Online,Card,2,68.27,5.0,129.71,43.77,New
200002,2023-05-20,Sports,Fitness,West,Retail,Card,1,32.59,25.0,24.44,2.95,New
200003,2022-11-20,Fashion,Kids,South,Online,UPI,3,130.89,0.0,392.67,117.72,VIP
200004,2022-07-31,Home & Kitchen,Kitchenware,North,Mobile App,UPI,3,79.6,20.0,191.04,19.22,Returning
200005,2022-06-10,Fashion,Kids,North,Retail,Card,2,26.22,0.0,52.44,1.28,New
200006,2023-05-20,Home & Kitchen,Kitchenware,North,Mobile App,UPI,2,36.85,10.0,66.33,0.66,New
200007,2023-05-01,Electronics,Accessories,South,Online,Card,1,164.09,25.0,123.07,26.22,Returning
200008,2022-01-11,Sports,Outdoor,North,Online,Card,1,166.09,0.0,166.09,29.48,VIP
200009,2022-07-26,Home & Kitchen,Furniture,West,Online,Card,2,181.4,25.0,272.1,39.8,New
200010,2022-02-10,Electronics,Audio,North,Online,COD,2,98.85,10.0,177.93,30.81,Returning
200011,2022-08-18,Home & Kitchen,Kitchenware,East,Mobile App,COD,1,64.84,25.0,48.63,3.95,Returning
200012,2023-02-12,Health,Supplements,North,Online,COD,3,32.27,10.0,87.13,17.04,Returning
200013,2022-12-24,Home & Kitchen,Kitchenware,South,Online,UPI,1,36.32,20.0,29.06,3.23,New
200014,2023-01-03,Sports,Fitness,East,Online,Netbanking,1,133.16,20.0,106.53,8.22,New
200015,2022-08-01,Fashion,Kids,North,Online,Netbanking,3,109.52,0.0,328.56,79.99,New
200016,2022-05-25,Sports,Fitness,North,Retail,Netbanking,3,44.57,15.0,113.65,25.27,New
200017,2023-05-31,Sports,Outdoor,West,Marketplace,UPI,3,106.53,15.0,271.65,38.89,Returning
200018,2022-08-17,Home & Kitchen,Kitchenware,North,Online,COD,1,48.57,15.0,41.28,5.35,Returning
200019,2023-10-20,Electronics,Laptops,East,Online,Card,1,118.82,20.0,95.06,22.82,Returning
200020,2023-04-10,Fashion,Women,South,Online,Card,2,28.44,20.0,45.5,4.96,Returning
200021,2023-09-24,Sports,Outdoor,East,Online,Card,1,136.73,0.0,136.73,18.63,Returning
